"","compound_1","compound_2","true_match","cosine","comp2keep","comp1_feat","comp2_feat","comp_MSMS","comp_TIC","reason"
"152","amide_1221","C18_4968","Y",0.98773,"amide_1221",2,4,"amide_1221","C18_4968","amide_1221 has MSMS"
"153","amide_1283","C18_7732","Y",0.945193,"amide_1283",2,3,"amide_1283","C18_7732","amide_1283 has MSMS"
"154","amide_1310","C18_4070","Y",0.816464,"amide_1310",2,2,"amide_1310","amide_1310","amide_1310 has MSMS"
"155","amide_1325","C18_5628","Y",0.976302,"amide_1325",2,3,"amide_1325","amide_1325","amide_1325 has MSMS"
"156","amide_1370","C18_3110","Y",0.979595,"amide_1370",2,3,"amide_1370","C18_3110","amide_1370 has MSMS"
"157","amide_1399","C18_2746","Y",0.972961,"amide_1399",2,4,"amide_1399","C18_2746","amide_1399 has MSMS"
"158","amide_1414","C18_4504","Y",0.992564,"amide_1414",2,5,"amide_1414","C18_4504","amide_1414 has MSMS"
"159","amide_1430","C18_8443","Y",0.967976,"amide_1430",2,2,"amide_1430","amide_1430","amide_1430 has MSMS"
"160","amide_1461","C18_6029","Y",0.99695,"amide_1461",2,2,"amide_1461","amide_1461","amide_1461 has MSMS"
"161","amide_1602","C18_5809","Y",1,"amide_1602",1,1,"amide_1602","C18_5809","amide_1602 has MSMS"
"162","amide_1605","C18_9962","Y",1,"amide_1605",1,1,"amide_1605","amide_1605","amide_1605 has MSMS"
"163","amide_1609","C18_8378","Y",1,"amide_1609",1,1,"amide_1609","amide_1609","amide_1609 has MSMS"
"164","amide_1030","C18_2635","Y",0.902005,"amide_1030",2,4,"amide_1030","C18_2635","amide_1030 has MSMS"
"165","amide_1670","C18_7438","Y",0.997387,"amide_1670",1,1,"amide_1670","amide_1670","amide_1670 has MSMS"
"166","amide_1697","C18_7765","Y",1,"amide_1697",1,1,"amide_1697","amide_1697","amide_1697 has MSMS"
"167","amide_173","C18_4682","Y",0.934707,"amide_173",39,7,"amide_173","amide_173","amide_173 has MSMS"
"168","amide_1737","C18_9331","Y",0.99724,"amide_1737",1,1,"amide_1737","amide_1737","amide_1737 has MSMS"
"169","amide_1791","C18_7074","Y",1,"amide_1791",1,1,"amide_1791","C18_7074","amide_1791 has MSMS"
"170","amide_1800","C18_7153","Y",1,"amide_1800",1,1,"amide_1800","amide_1800","amide_1800 has MSMS"
"171","amide_1873","C18_7957","Y",0.868105,"amide_1873",1,1,"amide_1873","C18_7957","amide_1873 has MSMS"
"172","amide_1921","C18_9375","Y",0.901087,"amide_1921",1,1,"amide_1921","amide_1921","amide_1921 has MSMS"
"173","amide_1944","C18_10034","Y",1,"amide_1944",1,1,"amide_1944","amide_1944","amide_1944 has MSMS"
"174","amide_1986","C18_7315","Y",1,"amide_1986",1,1,"amide_1986","C18_7315","amide_1986 has MSMS"
"175","amide_2011","C18_7321","Y",1,"amide_2011",1,1,"amide_2011","C18_7321","amide_2011 has MSMS"
"176","amide_2058","C18_8808","Y",1,"amide_2058",1,1,"amide_2058","C18_8808","amide_2058 has MSMS"
"177","amide_2064","C18_7223","Y",1,"amide_2064",1,1,"amide_2064","C18_7223","amide_2064 has MSMS"
"178","amide_2075","C18_7276","Y",1,"amide_2075",1,1,"amide_2075","amide_2075","amide_2075 has MSMS"
"179","amide_2076","C18_8355","Y",1,"amide_2076",1,1,"amide_2076","amide_2076","amide_2076 has MSMS"
"180","amide_2139","C18_8549","Y",1,"amide_2139",1,1,"amide_2139","amide_2139","amide_2139 has MSMS"
"181","amide_2189","C18_7945","Y",0.947223,"amide_2189",1,1,"amide_2189","C18_7945","amide_2189 has MSMS"
"182","amide_2209","C18_9249","Y",1,"amide_2209",1,1,"amide_2209","C18_9249","amide_2209 has MSMS"
"183","amide_2239","C18_6079","Y",1,"amide_2239",1,1,"amide_2239","C18_6079","amide_2239 has MSMS"
"184","amide_2297","C18_8534","Y",1,"amide_2297",1,1,"amide_2297","C18_8534","amide_2297 has MSMS"
"185","amide_2303","C18_8691","Y",1,"amide_2303",1,1,"amide_2303","C18_8691","amide_2303 has MSMS"
"186","amide_2312","C18_9002","Y",1,"amide_2312",1,1,"amide_2312","C18_9002","amide_2312 has MSMS"
"187","amide_2356","C18_8108","Y",1,"amide_2356",1,1,"amide_2356","C18_8108","amide_2356 has MSMS"
"188","amide_239","C18_4086","Y",0.927186,"amide_239",6,2,"amide_239","amide_239","amide_239 has MSMS"
"189","amide_2476","C18_10094","Y",1,"amide_2476",1,1,"amide_2476","amide_2476","amide_2476 has MSMS"
"190","amide_2609","C18_9014","Y",1,"amide_2609",1,1,"amide_2609","C18_9014","amide_2609 has MSMS"
"191","amide_2637","C18_10028","Y",1,"amide_2637",1,1,"amide_2637","C18_10028","amide_2637 has MSMS"
"192","amide_276","C18_4484","Y",0.963509,"amide_276",8,2,"amide_276","amide_276","amide_276 has MSMS"
"193","amide_287","C18_2081","Y",0.953891,"amide_287",11,19,"amide_287","amide_287","amide_287 has MSMS"
"194","amide_299","C18_3373","Y",0.940467,"amide_299",6,20,"amide_299","amide_299","amide_299 has MSMS"
"195","amide_30","C18_8709","Y",0.96868,"amide_30",49,2,"amide_30","amide_30","amide_30 has MSMS"
"196","amide_313","C18_3098","Y",0.82212,"amide_313",7,3,"amide_313","amide_313","amide_313 has MSMS"
"197","amide_331","C18_5168","Y",0.896235,"amide_331",13,3,"amide_331","amide_331","amide_331 has MSMS"
"198","amide_398","C18_3636","Y",0.973047,"amide_398",5,3,"amide_398","amide_398","amide_398 has MSMS"
"199","amide_619","C18_46","Y",0.969787,"amide_619",9,29,"amide_619","C18_46","amide_619 has MSMS"
"200","amide_658","C18_6642","Y",0.98178,"amide_658",6,2,"amide_658","C18_6642","amide_658 has MSMS"
"201","amide_682","C18_7745","Y",0.954096,"amide_682",5,3,"amide_682","amide_682","amide_682 has MSMS"
"202","amide_716","C18_3621","Y",0.991646,"amide_716",4,2,"amide_716","C18_3621","amide_716 has MSMS"
"203","amide_895","C18_3804","Y",0.98319,"amide_895",4,2,"amide_895","amide_895","amide_895 has MSMS"
"204","amide_981","C18_4297","Y",0.995567,"amide_981",6,5,"amide_981","C18_4297","amide_981 has MSMS"
